Epoch 153/500 | latent_loss=0.001251 | mask_loss=0.000585 | total_loss=0.001836 | epoch_time=8.4s | eta=49.2m (finishes ~ 03:24:00)
Epoch 154/500 | latent_loss=0.001250 | mask_loss=0.000582 | total_loss=0.001833 | epoch_time=8.6s | eta=49.0m (finishes ~ 03:24:01)
Epoch 155/500 | latent_loss=0.001250 | mask_loss=0.000580 | total_loss=0.001830 | epoch_time=8.9s | eta=48.9m (finishes ~ 03:24:02)
Epoch 156/500 | latent_loss=0.001250 | mask_loss=0.000577 | total_loss=0.001827 | epoch_time=8.2s | eta=48.8m (finishes ~ 03:24:01)
Epoch 157/500 | latent_loss=0.001250 | mask_loss=0.000575 | total_loss=0.001824 | epoch_time=8.0s | eta=48.6m (finishes ~ 03:24:00)
Epoch 158/500 | latent_loss=0.001249 | mask_loss=0.000573 | total_loss=0.001822 | epoch_time=8.6s | eta=48.5m (finishes ~ 03:24:00)
Epoch 159/500 | latent_loss=0.001249 | mask_loss=0.000570 | total_loss=0.001819 | epoch_time=8.6s | eta=48.3m (finishes ~ 03:24:00)
Epoch 160/500 | latent_loss=0.001249 | mask_loss=0.000568 | total_loss=0.001817 | epoch_time=8.5s | eta=48.2m (finishes ~ 03:24:00)
Epoch 161/500 | latent_loss=0.001248 | mask_loss=0.000566 | total_loss=0.001814 | epoch_time=8.7s | eta=48.0m (finishes ~ 03:24:01)
Epoch 162/500 | latent_loss=0.001248 | mask_loss=0.000564 | total_loss=0.001812 | epoch_time=8.2s | eta=47.9m (finishes ~ 03:24:00)
Epoch 163/500 | latent_loss=0.001248 | mask_loss=0.000561 | total_loss=0.001809 | epoch_time=8.7s | eta=47.8m (finishes ~ 03:24:00)
Epoch 164/500 | latent_loss=0.001247 | mask_loss=0.000559 | total_loss=0.001807 | epoch_time=8.3s | eta=47.6m (finishes ~ 03:24:00)
Epoch 165/500 | latent_loss=0.001247 | mask_loss=0.000557 | total_loss=0.001804 | epoch_time=8.8s | eta=47.5m (finishes ~ 03:24:00)
Epoch 166/500 | latent_loss=0.001247 | mask_loss=0.000555 | total_loss=0.001802 | epoch_time=8.7s | eta=47.3m (finishes ~ 03:24:01)
Epoch 167/500 | latent_loss=0.001246 | mask_loss=0.000553 | total_loss=0.001800 | epoch_time=8.2s | eta=47.2m (finishes ~ 03:24:00)
Epoch 168/500 | latent_loss=0.001246 | mask_loss=0.000551 | total_loss=0.001797 | epoch_time=8.0s | eta=47.0m (finishes ~ 03:23:59)
